item,combination1,combination2,combination3
BBQ Sweet Potato Nuggets,Panko-Crusted Fish Nuggets,Sriracha Honey Chicken Nuggets,Spinach and Feta Nuggets
Chick'n Nuggets (Plant-Based),BBQ Sweet Potato Nuggets,Buffalo Turkey Nuggets,Panko-Crusted Fish Nuggets
Pumpkin Spice Chicken Nuggets,Chick'n Nuggets (Plant-Based),Spinach and Feta Nuggets,BBQ Sweet Potato Nuggets
Cinnamon Sugar Sweet Potato Nuggets,Pumpkin Spice Chicken Nuggets,Panko-Crusted Fish Nuggets,Chick'n Nuggets (Plant-Based)
Pineapple Coconut Shrimp Nuggets,Cinnamon Sugar Sweet Potato Nuggets,BBQ Sweet Potato Nuggets,Pumpkin Spice Chicken Nuggets
Chipotle Lime Tofu Nuggets,Pineapple Coconut Shrimp Nuggets,Chick'n Nuggets (Plant-Based),Cinnamon Sugar Sweet Potato Nuggets
Honey Mustard Turkey Nuggets,Chipotle Lime Tofu Nuggets,Pumpkin Spice Chicken Nuggets,Pineapple Coconut Shrimp Nuggets
Mexican Street Corn Nuggets,Honey Mustard Turkey Nuggets,Cinnamon Sugar Sweet Potato Nuggets,Chipotle Lime Tofu Nuggets
Cheddar Bacon Potato Nuggets,Mexican Street Corn Nuggets,Pineapple Coconut Shrimp Nuggets,Honey Mustard Turkey Nuggets
Cranberry Pecan Chicken Nuggets,Cheddar Bacon Potato Nuggets,Chipotle Lime Tofu Nuggets,Mexican Street Corn Nuggets
Maple Glazed Salmon Nuggets,Cranberry Pecan Chicken Nuggets,Honey Mustard Turkey Nuggets,Cheddar Bacon Potato Nuggets
Buffalo Cauliflower Mac and Cheese Nuggets,Maple Glazed Salmon Nuggets,Mexican Street Corn Nuggets,Cranberry Pecan Chicken Nuggets
Cheesy Broccoli and Rice Nuggets,Buffalo Cauliflower Mac and Cheese Nuggets,Cheddar Bacon Potato Nuggets,Maple Glazed Salmon Nuggets
Mediterranean Quinoa Nuggets,Cheesy Broccoli and Rice Nuggets,Cranberry Pecan Chicken Nuggets,Buffalo Cauliflower Mac and Cheese Nuggets
Apple Cinnamon Chicken Nuggets,Mediterranean Quinoa Nuggets,Maple Glazed Salmon Nuggets,Cheesy Broccoli and Rice Nuggets
Caprese Mozzarella Chicken Nuggets,Apple Cinnamon Chicken Nuggets,Buffalo Cauliflower Mac and Cheese Nuggets,Mediterranean Quinoa Nuggets
Pesto Zoodle Nuggets,Caprese Mozzarella Chicken Nuggets,Cheesy Broccoli and Rice Nuggets,Apple Cinnamon Chicken Nuggets
Thai Peanut Tofu Nuggets,Pesto Zoodle Nuggets,Mediterranean Quinoa Nuggets,Caprese Mozzarella Chicken Nuggets
Ranch Cauliflower Nuggets,Thai Peanut Tofu Nuggets,Apple Cinnamon Chicken Nuggets,Pesto Zoodle Nuggets
Avocado Lime Chicken Nuggets,Ranch Cauliflower Nuggets,Caprese Mozzarella Chicken Nuggets,Thai Peanut Tofu Nuggets
Honey Sriracha Shrimp Nuggets,Avocado Lime Chicken Nuggets,Pesto Zoodle Nuggets,Ranch Cauliflower Nuggets
Spinach Artichoke Chicken Nuggets,Honey Sriracha Shrimp Nuggets,Thai Peanut Tofu Nuggets,Avocado Lime Chicken Nuggets
Salsa Verde Potato Nuggets,Spinach Artichoke Chicken Nuggets,Ranch Cauliflower Nuggets,Honey Sriracha Shrimp Nuggets
Garlic Parmesan Tofu Nuggets,Salsa Verde Potato Nuggets,Avocado Lime Chicken Nuggets,Spinach Artichoke Chicken Nuggets
Teriyaki Quinoa Nuggets,Garlic Parmesan Tofu Nuggets,Honey Sriracha Shrimp Nuggets,Salsa Verde Potato Nuggets
Cheddar Jalapeño Chicken Nuggets,Teriyaki Quinoa Nuggets,Spinach Artichoke Chicken Nuggets,Garlic Parmesan Tofu Nuggets
Dill Pickle Chicken Nuggets,Cheddar Jalapeño Chicken Nuggets,Salsa Verde Potato Nuggets,Teriyaki Quinoa Nuggets
Blue Cheese Buffalo Cauliflower Nuggets,Dill Pickle Chicken Nuggets,Garlic Parmesan Tofu Nuggets,Cheddar Jalapeño Chicken Nuggets
Sweet Chili Salmon Nuggets,Blue Cheese Buffalo Cauliflower Nuggets,Teriyaki Quinoa Nuggets,Dill Pickle Chicken Nuggets
Tex-Mex Sweet Potato Nuggets,Sweet Chili Salmon Nuggets,Cheddar Jalapeño Chicken Nuggets,Blue Cheese Buffalo Cauliflower Nuggets
Spinach and Ricotta Chicken Nuggets,Tex-Mex Sweet Potato Nuggets,Dill Pickle Chicken Nuggets,Sweet Chili Salmon Nuggets
Pesto Mozzarella Turkey Nuggets,Spinach and Ricotta Chicken Nuggets,Blue Cheese Buffalo Cauliflower Nuggets,Tex-Mex Sweet Potato Nuggets
Lemon Pepper Tofu Nuggets,Pesto Mozzarella Turkey Nuggets,Sweet Chili Salmon Nuggets,Spinach and Ricotta Chicken Nuggets
Mango Habanero Chicken Nuggets,Lemon Pepper Tofu Nuggets,Tex-Mex Sweet Potato Nuggets,Pesto Mozzarella Turkey Nuggets
Honey Dijon Turkey Nuggets,Mango Habanero Chicken Nuggets,Spinach and Ricotta Chicken Nuggets,Lemon Pepper Tofu Nuggets
Buffalo Cauliflower Ranch Nuggets,Honey Dijon Turkey Nuggets,Pesto Mozzarella Turkey Nuggets,Mango Habanero Chicken Nuggets
Sesame Ginger Tofu Nuggets,Buffalo Cauliflower Ranch Nuggets,Lemon Pepper Tofu Nuggets,Honey Dijon Turkey Nuggets
Maple Glazed Bacon Chicken Nuggets,Sesame Ginger Tofu Nuggets,Mango Habanero Chicken Nuggets,Buffalo Cauliflower Ranch Nuggets
Parmesan Crusted Salmon Nuggets,Maple Glazed Bacon Chicken Nuggets,Honey Dijon Turkey Nuggets,Sesame Ginger Tofu Nuggets
Southwest Black Bean Nuggets,Parmesan Crusted Salmon Nuggets,Buffalo Cauliflower Ranch Nuggets,Maple Glazed Bacon Chicken Nuggets
Pimento Cheese Chicken Nuggets,Southwest Black Bean Nuggets,Sesame Ginger Tofu Nuggets,Parmesan Crusted Salmon Nuggets
Lemon Herb Quinoa Nuggets,Pimento Cheese Chicken Nuggets,Maple Glazed Bacon Chicken Nuggets,Southwest Black Bean Nuggets
Cajun Shrimp Nuggets,Lemon Herb Quinoa Nuggets,Parmesan Crusted Salmon Nuggets,Pimento Cheese Chicken Nuggets
Teriyaki Tempeh Nuggets,Cajun Shrimp Nuggets,Southwest Black Bean Nuggets,Lemon Herb Quinoa Nuggets
Cranberry Brie Turkey Nuggets,Teriyaki Tempeh Nuggets,Pimento Cheese Chicken Nuggets,Cajun Shrimp Nuggets
Jalapeño Cornbread Chicken Nuggets,Cranberry Brie Turkey Nuggets,Lemon Herb Quinoa Nuggets,Teriyaki Tempeh Nuggets
Smoky Paprika Chickpea Nuggets,Jalapeño Cornbread Chicken Nuggets,Cajun Shrimp Nuggets,Cranberry Brie Turkey Nuggets
Caprese Zucchini Nuggets,Smoky Paprika Chickpea Nuggets,Teriyaki Tempeh Nuggets,Jalapeño Cornbread Chicken Nuggets
Truffle Parmesan Potato Nuggets,Caprese Zucchini Nuggets,Cranberry Brie Turkey Nuggets,Smoky Paprika Chickpea Nuggets
Cranberry Almond Tofu Nuggets,Truffle Parmesan Potato Nuggets,Jalapeño Cornbread Chicken Nuggets,Caprese Zucchini Nuggets
BBQ Pulled Pork Nuggets,Cranberry Almond Tofu Nuggets,Smoky Paprika Chickpea Nuggets,Truffle Parmesan Potato Nuggets
Mediterranean Eggplant Nuggets,BBQ Pulled Pork Nuggets,Caprese Zucchini Nuggets,Cranberry Almond Tofu Nuggets
Buffalo Cauliflower Blue Cheese Nuggets,Mediterranean Eggplant Nuggets,Truffle Parmesan Potato Nuggets,BBQ Pulled Pork Nuggets
Sweet Chili Lime Shrimp Nuggets,Buffalo Cauliflower Blue Cheese Nuggets,Cranberry Almond Tofu Nuggets,Mediterranean Eggplant Nuggets
Chipotle Black Bean Nuggets,Sweet Chili Lime Shrimp Nuggets,BBQ Pulled Pork Nuggets,Buffalo Cauliflower Blue Cheese Nuggets
Lemon Dill Salmon Nuggets,Chipotle Black Bean Nuggets,Mediterranean Eggplant Nuggets,Sweet Chili Lime Shrimp Nuggets
Basil Pesto Chicken Nuggets,Lemon Dill Salmon Nuggets,Buffalo Cauliflower Blue Cheese Nuggets,Chipotle Black Bean Nuggets
Almond-Crusted Tofu Nuggets,Basil Pesto Chicken Nuggets,Sweet Chili Lime Shrimp Nuggets,Lemon Dill Salmon Nuggets
Sriracha Maple Bacon Turkey Nuggets,Almond-Crusted Tofu Nuggets,Chipotle Black Bean Nuggets,Basil Pesto Chicken Nuggets
Garlic Parmesan Zoodle Nuggets,Sriracha Maple Bacon Turkey Nuggets,Lemon Dill Salmon Nuggets,Almond-Crusted Tofu Nuggets
Honey Mustard Pretzel Chicken Nuggets,Garlic Parmesan Zoodle Nuggets,Basil Pesto Chicken Nuggets,Sriracha Maple Bacon Turkey Nuggets
Buffalo Cauliflower Panko Nuggets,Honey Mustard Pretzel Chicken Nuggets,Almond-Crusted Tofu Nuggets,Garlic Parmesan Zoodle Nuggets
Green Curry Tofu Nuggets,Buffalo Cauliflower Panko Nuggets,Sriracha Maple Bacon Turkey Nuggets,Honey Mustard Pretzel Chicken Nuggets
Chili Lime Avocado Turkey Nuggets,Green Curry Tofu Nuggets,Garlic Parmesan Zoodle Nuggets,Buffalo Cauliflower Panko Nuggets
Cranberry Walnut Sweet Potato Nuggets,Chili Lime Avocado Turkey Nuggets,Honey Mustard Pretzel Chicken Nuggets,Green Curry Tofu Nuggets
Greek Feta Spinach Nuggets,Cranberry Walnut Sweet Potato Nuggets,Buffalo Cauliflower Panko Nuggets,Chili Lime Avocado Turkey Nuggets
Teriyaki Pineapple Salmon Nuggets,Greek Feta Spinach Nuggets,Green Curry Tofu Nuggets,Cranberry Walnut Sweet Potato Nuggets
Cilantro Lime Quinoa Nuggets,Teriyaki Pineapple Salmon Nuggets,Chili Lime Avocado Turkey Nuggets,Greek Feta Spinach Nuggets
Caramelized Onion and Goat Cheese Chicken Nuggets,Cilantro Lime Quinoa Nuggets,Cranberry Walnut Sweet Potato Nuggets,Teriyaki Pineapple Salmon Nuggets
Pesto Mozzarella Eggplant Nuggets,Caramelized Onion and Goat Cheese Chicken Nuggets,Greek Feta Spinach Nuggets,Cilantro Lime Quinoa Nuggets
Honey Sriracha Almond Turkey Nuggets,Pesto Mozzarella Eggplant Nuggets,Teriyaki Pineapple Salmon Nuggets,Caramelized Onion and Goat Cheese Chicken Nuggets
Smoked Paprika Chickpea Nuggets,Honey Sriracha Almond Turkey Nuggets,Cilantro Lime Quinoa Nuggets,Pesto Mozzarella Eggplant Nuggets
Cheesy Broccoli Panko Nuggets,Smoked Paprika Chickpea Nuggets,Caramelized Onion and Goat Cheese Chicken Nuggets,Honey Sriracha Almond Turkey Nuggets
Buffalo Ranch Cauliflower Nuggets,Cheesy Broccoli Panko Nuggets,Pesto Mozzarella Eggplant Nuggets,Smoked Paprika Chickpea Nuggets
Lemon Garlic Herb Salmon Nuggets,Buffalo Ranch Cauliflower Nuggets,Honey Sriracha Almond Turkey Nuggets,Cheesy Broccoli Panko Nuggets
Mediterranean Chickpea Feta Nuggets,Lemon Garlic Herb Salmon Nuggets,Smoked Paprika Chickpea Nuggets,Buffalo Ranch Cauliflower Nuggets
Spicy Mango Lime Chicken Nuggets,Mediterranean Chickpea Feta Nuggets,Cheesy Broccoli Panko Nuggets,Lemon Garlic Herb Salmon Nuggets
BBQ Sweet Potato Chickpea Nuggets,Spicy Mango Lime Chicken Nuggets,Buffalo Ranch Cauliflower Nuggets,Mediterranean Chickpea Feta Nuggets
Orange Ginger Tofu Nuggets,BBQ Sweet Potato Chickpea Nuggets,Lemon Garlic Herb Salmon Nuggets,Spicy Mango Lime Chicken Nuggets
Sriracha Lime Shrimp Nuggets,Orange Ginger Tofu Nuggets,Mediterranean Chickpea Feta Nuggets,BBQ Sweet Potato Chickpea Nuggets
Buffalo Blue Cheese Turkey Nuggets,Sriracha Lime Shrimp Nuggets,Spicy Mango Lime Chicken Nuggets,Orange Ginger Tofu Nuggets
Sweet Chili Pineapple Chicken Nuggets,Buffalo Blue Cheese Turkey Nuggets,BBQ Sweet Potato Chickpea Nuggets,Sriracha Lime Shrimp Nuggets
Rosemary Parmesan Potato Nuggets,Sweet Chili Pineapple Chicken Nuggets,Orange Ginger Tofu Nuggets,Buffalo Blue Cheese Turkey Nuggets
Chili Lime Avocado Quinoa Nuggets,Rosemary Parmesan Potato Nuggets,Sriracha Lime Shrimp Nuggets,Sweet Chili Pineapple Chicken Nuggets
Teriyaki Ginger Tofu Nuggets,Chili Lime Avocado Quinoa Nuggets,Buffalo Blue Cheese Turkey Nuggets,Rosemary Parmesan Potato Nuggets
Panko Crusted Fish and Chips Nuggets,Teriyaki Ginger Tofu Nuggets,Sweet Chili Pineapple Chicken Nuggets,Chili Lime Avocado Quinoa Nuggets
Chipotle Lime Corn Nuggets,Panko Crusted Fish and Chips Nuggets,Rosemary Parmesan Potato Nuggets,Teriyaki Ginger Tofu Nuggets
Lemon Basil Chickpea Nuggets,Chipotle Lime Corn Nuggets,Chili Lime Avocado Quinoa Nuggets,Panko Crusted Fish and Chips Nuggets
Bacon-Wrapped Jalapeño Popper Chicken Nuggets,Lemon Basil Chickpea Nuggets,Teriyaki Ginger Tofu Nuggets,Chipotle Lime Corn Nuggets
Maple Dijon Pecan Turkey Nuggets,Bacon-Wrapped Jalapeño Popper Chicken Nuggets,Panko Crusted Fish and Chips Nuggets,Lemon Basil Chickpea Nuggets
Sesame Soy Ginger Tofu Nuggets,Maple Dijon Pecan Turkey Nuggets,Chipotle Lime Corn Nuggets,Bacon-Wrapped Jalapeño Popper Chicken Nuggets
Cranberry Pecan Sweet Potato Nuggets,Sesame Soy Ginger Tofu Nuggets,Lemon Basil Chickpea Nuggets,Maple Dijon Pecan Turkey Nuggets
Greek Lemon Feta Chicken Nuggets,Cranberry Pecan Sweet Potato Nuggets,Bacon-Wrapped Jalapeño Popper Chicken Nuggets,Sesame Soy Ginger Tofu Nuggets
Roti,chickenchilly,kadaichicken,veg kurma
Paratha,chickenchilly,kadaichicken,veg kurma
Pita bread,chicken tandoori masala,mushroom masala,egg roast
Lavash,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Tortilla,paneer masala,paneer masala,butter chicken
Baguette,paneer masala,gobi munchurian,butter chicken
Focaccia,butter chicken,green pepper chicken,paneer masala
Flatbread,mushroom munchurian,pepper chicken,gobi munchurian
Arepa,chickenchilly,kadaichicken,veg kurma
Injera,chickenchilly,kadaichicken,veg kurma
Scone,chicken tandoori masala,mushroom masala,egg roast
Bannock,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Crêpe,paneer masala,paneer masala,butter chicken
Matzah,paneer masala,gobi munchurian,butter chicken
Piadina,butter chicken,green pepper chicken,paneer masala
Muffuletta bread,mushroom munchurian,pepper chicken,gobi munchurian
Socca,chickenchilly,kadaichicken,veg kurma
Dosa,chickenchilly,kadaichicken,veg kurma
Appam,chicken tandoori masala,mushroom masala,egg roast
Bao,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Challah,paneer masala,paneer masala,butter chicken
Rye bread,paneer masala,gobi munchurian,butter chicken
Ciabatta,butter chicken,green pepper chicken,paneer masala
Panettone,mushroom munchurian,pepper chicken,gobi munchurian
Brioche,chickenchilly,kadaichicken,veg kurma
Zopf,chickenchilly,kadaichicken,veg kurma
Pretzel,chicken tandoori masala,mushroom masala,egg roast
Kaiser roll,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Bagel,paneer masala,paneer masala,butter chicken
English muffin,paneer masala,gobi munchurian,butter chicken
Naan,butter chicken,green pepper chicken,paneer masala
Kuboos,mushroom munchurian,pepper chicken,gobi munchurian
Fougasse,chickenchilly,kadaichicken,veg kurma
Msemen,chickenchilly,kadaichicken,veg kurma
Melonpan,chicken tandoori masala,mushroom masala,egg roast
Damper,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Lefse,paneer masala,paneer masala,butter chicken
Barbari,paneer masala,gobi munchurian,butter chicken
Burek,butter chicken,green pepper chicken,paneer masala
Crumpet,mushroom munchurian,pepper chicken,gobi munchurian
Babka,chickenchilly,kadaichicken,veg kurma
Taftan,chickenchilly,kadaichicken,veg kurma
Mochi bread,chicken tandoori masala,mushroom masala,egg roast
Mantou,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Spelt bread,paneer masala,paneer masala,butter chicken
Roti canai,paneer masala,gobi munchurian,butter chicken
Broa,butter chicken,green pepper chicken,paneer masala
Ruisleipä,mushroom munchurian,pepper chicken,gobi munchurian
Pan de Muerto,chickenchilly,kadaichicken,veg kurma
Tunnbröd,chickenchilly,kadaichicken,veg kurma
Bolani,chicken tandoori masala,mushroom masala,egg roast
Zwieback,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Khachapuri,paneer masala,paneer masala,butter chicken
Luchi,paneer masala,gobi munchurian,butter chicken
Pumpernickel,butter chicken,green pepper chicken,paneer masala
Dutch crunch,mushroom munchurian,pepper chicken,gobi munchurian
Bammy,chickenchilly,kadaichicken,veg kurma
Milk bread,chickenchilly,kadaichicken,veg kurma
Folar,chicken tandoori masala,mushroom masala,egg roast
Kaya toast,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Kifli,paneer masala,paneer masala,butter chicken
Salt-rising bread,paneer masala,gobi munchurian,butter chicken
Pain de Campagne,butter chicken,green pepper chicken,paneer masala
Ekmek,mushroom munchurian,pepper chicken,gobi munchurian
Bolillo,chickenchilly,kadaichicken,veg kurma
Damper,chickenchilly,kadaichicken,veg kurma
Mantecadas,chicken tandoori masala,mushroom masala,egg roast
Anpan,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Baguette tradition,paneer masala,paneer masala,butter chicken
Soda bread,paneer masala,gobi munchurian,butter chicken
Pain Poilâne,butter chicken,green pepper chicken,paneer masala
Tijgerbrood,mushroom munchurian,pepper chicken,gobi munchurian
Sourdough,chickenchilly,kadaichicken,veg kurma
Guernsey gâche,chickenchilly,kadaichicken,veg kurma
Pala?inka,chicken tandoori masala,mushroom masala,egg roast
Zopf,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Khubz,paneer masala,paneer masala,butter chicken
Schiacciata,paneer masala,gobi munchurian,butter chicken
Teacake,butter chicken,green pepper chicken,paneer masala
Bublik,mushroom munchurian,pepper chicken,gobi munchurian
Tsoureki,chickenchilly,kadaichicken,veg kurma
Bagnat,chickenchilly,kadaichicken,veg kurma
Carré,chicken tandoori masala,mushroom masala,egg roast
Rieska,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Farl,paneer masala,paneer masala,butter chicken
Tsoureki,paneer masala,gobi munchurian,butter chicken
Damper,butter chicken,green pepper chicken,paneer masala
Khubz,mushroom munchurian,pepper chicken,gobi munchurian
Rieska,chickenchilly,kadaichicken,veg kurma
Farl,chickenchilly,kadaichicken,veg kurma
Bublik,chicken tandoori masala,mushroom masala,egg roast
Carré,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Bagnat,paneer masala,paneer masala,butter chicken
Tsoureki,paneer masala,gobi munchurian,butter chicken
Schiacciata,butter chicken,green pepper chicken,paneer masala
Khubz,mushroom munchurian,pepper chicken,gobi munchurian
Zopf,chickenchilly,kadaichicken,veg kurma
Carré,chickenchilly,kadaichicken,veg kurma
Soda bread,chicken tandoori masala,mushroom masala,egg roast
Anpan,chicken arabian masala,chicken tikk masala,chicken tandoori masala
bajra ragi roti,paneer masala,paneer masala,butter chicken
Missi Roti,paneer masala,gobi munchurian,butter chicken
Makki Di Roti,butter chicken,green pepper chicken,paneer masala
Bhakri,mushroom munchurian,pepper chicken,gobi munchurian
Sheermal,chickenchilly,kadaichicken,veg kurma
Khakhra,chickenchilly,kadaichicken,veg kurma
Thepla,chicken tandoori masala,mushroom masala,egg roast
Akki Roti,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Neer Dosa,paneer masala,paneer masala,butter chicken
Puran Poli,paneer masala,gobi munchurian,butter chicken
Appam,butter chicken,green pepper chicken,paneer masala
Pathiri,mushroom munchurian,pepper chicken,gobi munchurian
Kulcha,chickenchilly,kadaichicken,veg kurma
Amritsari Kulcha,chickenchilly,kadaichicken,veg kurma
Pesarattu,chicken tandoori masala,mushroom masala,egg roast
Malabar Paratha,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Kachori,paneer masala,paneer masala,butter chicken
Bedmi Puri,paneer masala,gobi munchurian,butter chicken
Puris,butter chicken,green pepper chicken,paneer masala
Roghni Naan,mushroom munchurian,pepper chicken,gobi munchurian
Garlic Naan,chickenchilly,kadaichicken,veg kurma
Onion Kulcha,chickenchilly,kadaichicken,veg kurma
Luchi,chicken tandoori masala,mushroom masala,egg roast
Jowar Roti,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Bajra Roti,paneer masala,paneer masala,butter chicken
Ragi Roti,paneer masala,gobi munchurian,butter chicken
Rajgira Paratha,butter chicken,green pepper chicken,paneer masala
Sabudana Khichdi,mushroom munchurian,pepper chicken,gobi munchurian
Methi Thepla,chickenchilly,kadaichicken,veg kurma
Gujarati Pudla,chickenchilly,kadaichicken,veg kurma
Dhokla,chicken tandoori masala,mushroom masala,egg roast
Khamiri Roti,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Sattu Paratha,paneer masala,paneer masala,butter chicken
Koki,paneer masala,gobi munchurian,butter chicken
Khar,butter chicken,green pepper chicken,paneer masala
Beda Roti,mushroom munchurian,pepper chicken,gobi munchurian
Paan Roti,chickenchilly,kadaichicken,veg kurma
Bhatura,chickenchilly,kadaichicken,veg kurma
Solapuri Shenga Poli,chicken tandoori masala,mushroom masala,egg roast
Chana Dal Paratha,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Dal Baati,paneer masala,paneer masala,butter chicken
Kand Roti,paneer masala,gobi munchurian,butter chicken
Bhature,butter chicken,green pepper chicken,paneer masala
Koki,mushroom munchurian,pepper chicken,gobi munchurian
Bhakri,chickenchilly,kadaichicken,veg kurma
Khakhra,chickenchilly,kadaichicken,veg kurma
Methi Paratha,chicken tandoori masala,mushroom masala,egg roast
Gobhi Paratha,chicken arabian masala,chicken tikk masala,chicken tandoori masala
Chur Chur Naan,paneer masala,paneer masala,butter chicken
Buffalo Cauliflower Pizza,Eggplant Parmesan Pizza,Shrimp Scampi Pizza,Prosciutto and Arugula Pizza
"Breakfast Pizza (with eggs, bacon, and sausage)",Greek Pizza,Caprese Pizza,Four Cheese Pizza
Thai Chicken Pizza,Truffle Mushroom Pizza,Sausage and Pepper Pizza,Shrimp Scampi Pizza
Tzatziki Gyro Pizza,Fig and Goat Cheese Pizza,Taco Pizza,Caprese Pizza
Quattro Stagioni (Four Seasons) Pizza,White Clam Pizza,Eggplant Parmesan Pizza,Sausage and Pepper Pizza
Margherita con Pesto Pizza,Buffalo Cauliflower Pizza,Greek Pizza,Taco Pizza
Chipotle BBQ Pulled Pork Pizza,"Breakfast Pizza (with eggs, bacon, and sausage)",Truffle Mushroom Pizza,Eggplant Parmesan Pizza
Sun-Dried Tomato and Olive Pizza,Thai Chicken Pizza,Fig and Goat Cheese Pizza,Greek Pizza
Chicken Alfredo Pizza,Tzatziki Gyro Pizza,White Clam Pizza,Truffle Mushroom Pizza
Philly Cheesesteak Pizza,Quattro Stagioni (Four Seasons) Pizza,Buffalo Cauliflower Pizza,Fig and Goat Cheese Pizza
BLT Pizza,Margherita con Pesto Pizza,"Breakfast Pizza (with eggs, bacon, and sausage)",White Clam Pizza
Sweet Potato and Goat Cheese Pizza,Chipotle BBQ Pulled Pork Pizza,Thai Chicken Pizza,Buffalo Cauliflower Pizza
Ratatouille Pizza,Sun-Dried Tomato and Olive Pizza,Tzatziki Gyro Pizza,"Breakfast Pizza (with eggs, bacon, and sausage)"
Buffalo Cauliflower Pizza,Chicken Alfredo Pizza,Quattro Stagioni (Four Seasons) Pizza,Thai Chicken Pizza
Pear and Gorgonzola Pizza,Philly Cheesesteak Pizza,Margherita con Pesto Pizza,Tzatziki Gyro Pizza
Caramelized Onion and Brie Pizza,BLT Pizza,Chipotle BBQ Pulled Pork Pizza,Quattro Stagioni (Four Seasons) Pizza
Mediterranean Lamb Pizza,Sweet Potato and Goat Cheese Pizza,Sun-Dried Tomato and Olive Pizza,Margherita con Pesto Pizza
Cilantro Lime Chicken Pizza,Ratatouille Pizza,Chicken Alfredo Pizza,Chipotle BBQ Pulled Pork Pizza
Chili Cheese Dog Pizza,Buffalo Cauliflower Pizza,Philly Cheesesteak Pizza,Sun-Dried Tomato and Olive Pizza
Roasted Red Pepper and Artichoke Pizza,Pear and Gorgonzola Pizza,BLT Pizza,Chicken Alfredo Pizza
Buffalo Ranch Chicken Pizza,Caramelized Onion and Brie Pizza,Sweet Potato and Goat Cheese Pizza,Philly Cheesesteak Pizza
Sweet and Spicy Pineapple Pizza,Mediterranean Lamb Pizza,Ratatouille Pizza,BLT Pizza
Shrimp and Pesto Pizza,Cilantro Lime Chicken Pizza,Buffalo Cauliflower Pizza,Sweet Potato and Goat Cheese Pizza
Crab and Asparagus Pizza,Chili Cheese Dog Pizza,Pear and Gorgonzola Pizza,Ratatouille Pizza
Smoked Salmon and Cream Cheese Pizza,Roasted Red Pepper and Artichoke Pizza,Caramelized Onion and Brie Pizza,Buffalo Cauliflower Pizza
Chicken Tikka Masala Pizza,Buffalo Ranch Chicken Pizza,Mediterranean Lamb Pizza,Pear and Gorgonzola Pizza
Philly Cheesesteak Pizza,Sweet and Spicy Pineapple Pizza,Cilantro Lime Chicken Pizza,Caramelized Onion and Brie Pizza
"Fig, Prosciutto, and Arugula Pizza",Shrimp and Pesto Pizza,Chili Cheese Dog Pizza,Mediterranean Lamb Pizza
Smoky BBQ Brisket Pizza,Crab and Asparagus Pizza,Roasted Red Pepper and Artichoke Pizza,Cilantro Lime Chicken Pizza
S'mores Dessert Pizza,Smoked Salmon and Cream Cheese Pizza,Buffalo Ranch Chicken Pizza,Chili Cheese Dog Pizza
Reuben Pizza,Chicken Tikka Masala Pizza,Sweet and Spicy Pineapple Pizza,Roasted Red Pepper and Artichoke Pizza
Chicken Caesar Salad Pizza,Philly Cheesesteak Pizza,Shrimp and Pesto Pizza,Buffalo Ranch Chicken Pizza
Mediterranean Hummus Pizza,"Fig, Prosciutto, and Arugula Pizza",Crab and Asparagus Pizza,Sweet and Spicy Pineapple Pizza
"Pear, Walnut, and Blue Cheese Pizza",Smoky BBQ Brisket Pizza,Smoked Salmon and Cream Cheese Pizza,Shrimp and Pesto Pizza
Buffalo Chicken Ranch Pizza,S'mores Dessert Pizza,Chicken Tikka Masala Pizza,Crab and Asparagus Pizza
Roasted Vegetable and Ricotta Pizza,Reuben Pizza,Philly Cheesesteak Pizza,Smoked Salmon and Cream Cheese Pizza
Black Bean and Corn Fiesta Pizza,Chicken Caesar Salad Pizza,"Fig, Prosciutto, and Arugula Pizza",Chicken Tikka Masala Pizza
Lobster and Garlic Butter Pizza,Mediterranean Hummus Pizza,Smoky BBQ Brisket Pizza,Philly Cheesesteak Pizza
Provolone and Italian Sausage Pizza,"Pear, Walnut, and Blue Cheese Pizza",S'mores Dessert Pizza,"Fig, Prosciutto, and Arugula Pizza"
Caramelized Onion and Fig Jam Pizza,Buffalo Chicken Ranch Pizza,Reuben Pizza,Smoky BBQ Brisket Pizza
Pulled Chicken Teriyaki Pizza,Roasted Vegetable and Ricotta Pizza,Chicken Caesar Salad Pizza,S'mores Dessert Pizza
Cranberry and Brie Dessert Pizza,Black Bean and Corn Fiesta Pizza,Mediterranean Hummus Pizza,Reuben Pizza
